xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
9.84,-1.64,-7.41,4.39,8,14.71,fall
6.24,0.94,-3.56,-0.12,-3.05,2.75,fall
7.41,-4.76,-6.6,4.15,-2.14,-5.13,fall
7.46,-4.42,-7.58,-24.29,5.8,5.07,fall
6.5,0.18,-6.25,-38.88,8.24,11.41,fall
6.27,-1.41,-6.62,-30.27,9.64,12.88,fall
5.7,-1.63,-5.93,-31.92,11.84,16.6,fall
6.01,-1.02,-6.37,-29.97,10.74,21.06,fall
5.79,-0.93,-7.02,-26.49,9.4,23.86,fall
5.72,-1.01,-6.54,-25.02,10.74,29.54,fall
6.29,-0.81,-6.64,-19.53,9.95,33.75,fall
5.94,-2.61,-7.26,-18.92,13.37,38.94,fall
5.35,-3.55,-7.1,-30.82,23.56,54.5,fall
12.13,-1.28,-9.7,-47.06,23.93,78.49,fall
8.56,-0.79,-6.59,-45.78,7.63,56.95,fall
6.28,-0.86,-4.61,-67.57,-3.23,47.73,fall
7.36,0.41,-6.57,-54.32,-6.1,54.5,fall
7.55,1.17,-7.37,-49.26,-7.02,66.53,fall
6.56,0.38,-6.49,-44.68,-7.02,61.28,fall
5.54,-0.1,-6.19,-46.02,-4.09,58.53,fall
5.04,-0.46,-6.8,-49.74,3.3,49.93,fall
5.39,0.67,-7.16,-55.11,10.93,41.99,fall
5.5,0.68,-7.33,-53.16,17.4,36.19,fall
6.78,-0.03,-7.24,-60.18,16.6,39.12,fall
5.65,-0.11,-7.67,-60.55,15.2,43.27,fall
4.96,0.86,-7.35,-58.41,21.73,44.37,fall
7.32,2.48,-6.73,-45.84,21.48,43.58,fall
9.53,0.03,-8.08,-31.74,13,56.95,fall
8.68,-3.08,-9.98,-36.44,17.4,61.04,fall
6.94,0.56,-4.3,-56.52,7.2,54.08,fall
5.3,-2.36,-3.83,-39.73,2.56,28.38,fall
7.47,-3.62,-8.14,-55.42,5.31,45.29,fall
6.96,-2.22,-8.38,-67.32,15.81,59.2,fall
6.13,0.35,-6.9,-70.86,17.58,64.27,fall
6.46,0.29,-6.58,-54.38,13.49,64.03,fall
6.29,-1.47,-6.64,-49.26,6.04,59.08,fall
7.17,-1.49,-7.34,-55.42,1.59,60.12,fall
7.22,-1.64,-7.65,-60.79,-1.71,61.89,fall
6.52,-0.95,-7.39,-64.51,-1.77,59.75,fall
5.69,-0.61,-7.08,-60,0.79,57.19,fall
4.95,-1.18,-7.2,-56.95,7.93,54.69,fall
4.91,-0.37,-6.95,-55.11,15.14,56.58,fall
4.36,-0.29,-7.08,-50.11,21.91,64.64,fall
6.64,-1.55,-5.95,-49.99,27.89,77.76,fall
11.68,1.06,-11.92,-48.89,24.78,102.36,fall
7.18,-2.74,-5.19,-63.72,2.69,75.56,fall
5.14,-1.22,-4.87,-84.17,0.85,72.94,fall
6.32,0.11,-5.72,-79.65,-0.61,78.25,fall
8.88,3.57,-7.95,-63.72,-6.23,85.63,fall
7.79,1.36,-7.32,-47.18,-7.39,69.64,fall
5.99,-1.24,-6.17,-46.88,-7.75,62.68,fall
5.3,0.24,-6.09,-51.39,-7.14,57.62,fall
6.23,1.34,-6.91,-47.55,-4.64,49.07,fall
5.74,0.97,-7.08,-42.11,-0.18,33.02,fall
6.64,1.7,-6.46,-32.96,0.98,16.05,fall
8.45,0.44,-6.42,-25.27,-6.23,0.73,fall
6.6,-2.51,-7.19,-32.04,-6.77,2.75,fall
5.81,1.18,-7.94,-44.37,-4.15,8.06,fall
6.73,4.16,-8.34,-23.74,12.21,13.37,fall
10.02,-0.63,-8.9,-1.1,9.28,16.05,fall
8.88,-2.47,-6.81,-5.98,2.14,4.76,fall
6.83,-1.62,-4.03,-12.39,-5.68,-3.17,fall
5.05,-1.43,-3.32,-11.17,-3.85,-5.8,fall
7.33,-1.8,-5.64,-10.68,-0.61,-1.4,fall
8.21,-2.83,-6.97,-9.34,-0.73,-5.55,fall
6.97,-0.87,-5.97,-11.84,-3.42,-8.79,fall
7.29,-0.4,-6.29,-3.48,-7.45,-5.55,fall
6.99,-2.3,-6.57,6.1,-12.27,-9.28,fall
6.42,-2.29,-6.64,1.65,-13.06,-9.34,fall
5.48,-1.84,-6.05,-0.98,-8.24,-2.2,fall
5.41,-2.45,-6.38,-2.2,0.37,15.01,fall
5.39,-1.02,-6.78,-1.53,8.97,39.73,fall
13.29,-0.81,-8.85,5.13,-4.21,61.46,fall
9.08,-1.8,-3.96,8.36,-11.17,18.55,fall
8.06,-1.58,-5.6,2.5,-17.33,11.9,fall
8.01,1.09,-5.07,5.43,-20.75,12.82,fall
6.72,1.32,-4.56,24.05,-24.11,3.48,fall
6.35,0.25,-4.33,31.43,-23.56,0.31,fall
6.45,-1.18,-5.04,33.87,-23.74,-4.03,fall
6.53,-0.63,-6.14,29.91,-19.53,-10.5,fall
6.59,-1.09,-5.98,24.35,-9.52,-13.24,fall
7.41,-1.06,-5.98,12.21,-7.45,-2.56,fall
8.1,0.92,-7.86,11.23,-8.3,-0.85,fall
13.36,-0.02,-5.46,19.65,-11.84,-21.55,fall
8.47,-3.18,-7.29,16.97,-27.71,-13.12,fall
8.92,2.63,-3.98,14.83,-25.09,-35.16,fall
6.83,0.57,-3.01,48.52,-31.56,-51.76,fall
5.84,-3.12,-2.76,47.85,-25.94,-69.82,fall
8.99,-5.23,-3,31.49,-35.4,-62.44,fall
9.93,-2.23,-3.02,14.1,-46.81,-43.33,fall
8.29,-3.06,-4.87,7.45,-57.31,-39.18,fall
0.89,-4.83,-4.1,6.04,-41.63,-61.34,fall
0.28,-0.59,-3.47,24.17,8.36,-85.88,fall
-1.36,-4.28,-4.33,51.76,41.14,-71.53,fall
-3.92,-3.49,-0.06,-21.79,93.02,-8.85,fall
3.13,1.76,-1.5,-84.96,88.81,125.73,fall
17.16,3.65,6.04,-52,4.39,150.21,fall
19.05,2.65,-0.58,14.47,-135.99,16.3,fall
27.88,-0.24,-12.72,1.53,-198.73,-34.48,fall
29.09,6.4,-24.49,70.98,-359.19,-9.95,fall
7.3,-8.65,-17.09,70.01,-328.37,-138.49,fall
-13.9,-5.13,-18.39,-13.85,-258.12,-56.34,fall
-12.28,-7.61,19.69,-126.53,-162.6,103.21,fall
-3.47,-3.81,5.06,-199.71,-79.47,137.33,fall
-10.78,26.17,16.1,-80.87,10.99,34.12,fall
-3.77,0.28,15.57,66.65,60.91,-155.76,fall
7.04,3.65,26.44,-20.75,145.2,-72.45,fall
17.17,-12.86,26.37,126.46,113.1,65.25,fall
19.17,-6.99,11.92,40.04,8.48,16.66,fall
11.24,-1.81,-1.5,-8.06,-51.57,39.43,fall
2.7,-0.79,3.85,-6.53,-22.89,4.64,fall
0.7,-0.88,6.26,-4.27,-9.22,-7.93,fall
1.78,0.32,7.76,2.32,-4.64,-7.81,fall
5.66,-1.2,6.46,16.85,9.64,-10.38,fall
8.66,-4.56,7.94,12.21,13.67,-9.09,fall
10.02,-4.33,8.23,-4.15,2.2,-6.47,fall
9.23,-1.58,6.3,-9.22,-10.56,-0.67,fall
7.9,-0.83,4.52,-2.32,-10.99,1.89,fall
7.07,-2.14,4.45,-0.92,-5.8,-3.17,fall
7.29,-1.62,5.25,-5.37,1.65,-3.78,fall
8.03,-1.48,5.88,-5.25,5.86,-3.78,fall
8.38,-1.47,6.07,-4.33,6.35,-1.1,fall
8,-1.54,6.17,-1.65,4.88,-1.71,fall
7.4,-1.46,6.52,-0.73,1.77,-2.87,fall
7.13,-1.6,6.59,0.67,-0.92,-1.53,fall
7.24,-1.79,6.34,1.04,-2.08,-0.18,fall
7.56,-1.72,6.13,0.61,-1.16,-0.61,fall
7.84,-1.76,6,1.28,-1.1,-1.59,fall
7.78,-1.95,5.87,0.79,-1.22,-1.95,fall
7.67,-2.01,5.82,0.18,-0.24,-1.77,fall
7.58,-1.83,6.01,-0.67,0.12,-2.38,fall
7.56,-1.72,6.19,1.65,-0.98,-3.85,fall
7.5,-1.88,6.32,2.32,-0.37,-5.13,fall
7.38,-1.9,6.25,1.1,-0.24,-4.46,fall
7.52,-1.88,6.11,0.43,-0.18,-1.22,fall
7.56,-1.9,6,-0.73,-0.67,-1.04,fall
7.59,-1.91,6,-0.67,-1.46,-1.83,fall
7.61,-1.86,6.05,-0.98,-0.55,-0.85,fall
7.67,-1.94,6.12,0.43,-0.73,-1.16,fall
7.38,-1.97,6.16,-0.43,-0.61,-0.79,fall
7.36,-1.97,6.26,-1.1,-0.12,-0.98,fall
7.5,-1.87,6.15,-0.73,0,-0.55,fall
7.61,-1.83,6.09,-0.18,0,-0.92,fall
7.53,-1.83,6.11,0.49,-0.37,-0.79,fall
7.55,-1.86,6.16,0.12,-0.61,-1.22,fall
7.48,-2,6.12,-0.61,-0.24,-1.16,fall
7.45,-1.9,6.19,-1.1,0.24,-0.37,fall
7.49,-1.88,6.16,-0.98,0.37,-0.49,fall
7.53,-1.84,6.17,-0.55,0.06,-0.85,fall
7.51,-1.93,6.14,-0.49,0.06,-0.98,fall
7.52,-1.88,6.14,-0.73,0.06,-0.92,fall
7.48,-1.88,6.17,-0.85,-0.18,-0.79,fall
7.52,-1.84,6.18,-0.61,0.12,-0.43,fall
7.48,-1.82,6.17,-0.67,-0.06,-0.79,fall
7.48,-1.87,6.22,-0.61,0.43,-1.04,fall
7.48,-1.83,6.16,0.12,0.49,-1.04,fall
7.54,-1.97,6.11,0.92,0.85,-1.77,fall
7.57,-1.89,6.12,-0.73,0.92,-1.28,fall
7.49,-1.85,6.21,-0.92,0.55,-1.65,fall
7.51,-1.87,6.18,-0.79,0.18,-1.53,fall
7.65,-1.85,6.22,-0.12,-1.53,-2.93,fall
7.63,-1.62,6.32,1.1,-4.21,-3.3,fall
7.35,-1.92,6.04,2.32,-3.97,-0.67,fall
7.13,-2.24,6.25,-0.31,-2.08,-1.89,fall
7.29,-1.89,6.26,-1.22,-0.18,-0.92,fall
7.49,-1.97,6.2,-1.22,0.61,-1.04,fall
7.5,-1.8,6.21,-0.85,0.43,-2.08,fall
7.47,-2.05,6.25,-1.1,0.49,-1.46,fall
7.43,-1.87,6.28,-2.01,0.73,0.24,fall
7.48,-1.8,6.2,-1.77,1.04,0.49,fall
7.41,-1.85,6.28,-1.1,0.92,-0.85,fall
7.41,-1.91,6.27,-1.04,0.85,-1.1,fall
7.45,-1.87,6.24,-0.61,0.67,-1.04,fall
7.5,-1.81,6.21,-0.49,0.61,-0.85,fall
7.46,-1.8,6.21,0.06,0.31,-0.98,fall
7.46,-1.84,6.22,-0.24,0.55,-1.1,fall
7.46,-1.84,6.25,-0.18,0.55,-1.04,fall
7.47,-1.89,6.22,-0.31,0.31,-1.53,fall
7.43,-1.85,6.24,-0.31,0.31,-1.59,fall
7.37,-1.86,6.2,-0.06,0.18,-1.22,fall
7.49,-1.9,6.19,-0.43,0.79,-0.98,fall
7.49,-1.89,6.19,-0.67,1.1,-0.98,fall
7.47,-1.82,6.26,-0.61,0.73,-1.71,fall
7.45,-1.86,6.28,-0.12,0.37,-2.26,fall
7.46,-1.89,6.21,-0.24,0.61,-1.95,fall
7.47,-1.87,6.18,-0.43,0.06,-1.46,fall
7.49,-1.9,6.19,-0.31,0.06,-0.98,fall
7.48,-1.88,6.25,-0.18,0.06,-0.85,fall
7.45,-1.88,6.22,-0.12,0.06,-1.16,fall
7.41,-1.91,6.23,-0.43,0.06,-0.85,fall
7.41,-1.92,6.24,-0.49,0.61,-1.1,fall
7.47,-1.87,6.22,-0.49,0.79,-1.28,fall
7.51,-1.95,6.18,-0.12,0.92,-0.98,fall
7.46,-1.95,6.18,-0.79,0.61,-1.59,fall
7.42,-1.87,6.23,-1.22,0.67,-1.1,fall
7.48,-1.84,6.23,-1.04,0.55,-0.98,fall
7.48,-1.76,6.19,-0.98,0.24,-1.16,fall
7.47,-1.78,6.22,-0.55,0.37,-0.79,fall
7.49,-1.84,6.25,-0.31,0.37,-1.04,fall
7.55,-2.12,6.2,-1.4,0.12,-0.98,fall
7.6,-1.83,6.19,-1.65,-0.55,-1.83,fall
7.45,-1.75,6.26,-1.4,-1.59,-1.16,fall
7.34,-1.81,6.2,-0.98,-1.34,-1.1,fall
7.35,-1.86,6.29,-1.59,-1.4,0,fall
7.43,-1.65,6.2,-1.22,-1.04,0.12,fall
7.4,-1.78,6.23,-0.67,-0.12,0.12,fall
7.39,-1.82,6.27,-0.43,0,-0.37,fall
7.43,-1.8,6.27,0.18,0.18,-0.55,fall
7.41,-1.97,6.32,0.37,0.61,-0.61,fall
7.46,-1.86,6.28,-0.24,0.37,-0.67,fall
7.41,-1.88,6.25,-0.67,0.43,-1.16,fall
7.44,-1.8,6.24,-1.1,0.37,-1.34,fall
7.42,-1.77,6.27,-0.67,0.67,-1.4,fall
7.42,-1.73,6.24,-0.55,0.98,-1.22,fall
7.45,-1.74,6.26,0.31,1.28,-0.98,fall
7.48,-1.83,6.24,0.79,1.28,-0.85,fall
7.5,-1.81,6.28,-0.06,0.92,-1.28,fall
7.42,-1.84,6.3,-0.43,0.61,-0.67,fall
7.44,-1.8,6.24,-0.61,0.49,-0.73,fall
7.44,-1.87,6.25,-0.31,0.55,-0.98,fall
7.47,-1.81,6.24,-0.31,0.37,-1.83,fall
7.43,-1.95,6.2,-0.18,0.24,-1.4,fall
7.41,-1.8,6.21,-0.73,0.49,-1.16,fall
7.44,-1.75,6.23,0.37,1.22,-1.71,fall
7.52,-1.85,6.23,0.12,0.92,-1.71,fall
7.48,-1.78,6.24,-0.92,0.61,-1.04,fall
7.48,-1.74,6.28,-0.67,0.49,-1.22,fall
7.42,-1.77,6.17,-0.12,0.73,-0.85,fall
7.47,-1.85,6.19,0.37,0.92,-0.61,fall
7.48,-1.89,6.21,0.24,0.92,-0.92,fall
7.47,-1.92,6.2,-0.18,0.55,-1.34,fall
7.48,-1.87,6.26,-0.73,0.43,-1.04,fall
7.44,-1.85,6.26,-0.79,0.61,-1.22,fall
7.5,-1.75,6.19,-0.73,0.31,-1.28,fall
7.45,-1.82,6.18,-0.61,0.37,-0.85,fall
7.51,-1.74,6.21,-0.49,0.43,-1.16,fall
7.51,-1.76,6.19,-0.37,0.24,-0.98,fall
7.45,-1.85,6.21,0.12,0.24,-1.04,fall
7.46,-1.84,6.22,0.31,0.37,-0.92,fall
7.44,-1.85,6.21,-0.06,0.49,-0.92,fall
7.5,-1.85,6.21,-0.24,0.85,-1.1,fall
7.48,-1.89,6.17,-0.31,0.43,-1.22,fall
7.52,-1.81,6.21,-0.49,0.49,-1.22,fall
7.44,-1.83,6.22,-0.61,0.18,-1.04,fall
7.47,-1.78,6.2,-0.43,0,-1.16,fall
7.47,-1.81,6.22,0.06,0.43,-1.04,fall
7.52,-1.89,6.2,-0.18,0.31,-1.4,fall
7.44,-1.89,6.2,-0.55,0.31,-1.16,fall
7.45,-1.82,6.17,0,0.49,-0.92,fall
7.46,-1.78,6.28,0.18,0.61,-1.04,fall
7.45,-1.82,6.15,0.92,0.55,-0.85,fall
7.52,-1.83,6.15,0.24,0.85,-0.98,fall
7.5,-1.87,6.19,0.12,0.31,-0.98,fall
7.49,-1.83,6.22,-0.31,0.06,-1.1,fall
7.47,-1.94,6.18,-0.49,-0.18,-0.98,fall
7.49,-1.84,6.21,-0.98,0,-1.22,fall
7.44,-1.82,6.18,-0.37,0.06,-0.61,fall
7.52,-1.86,6.16,0.18,0.43,-0.98,fall
7.47,-1.85,6.25,-0.18,0.73,-1.28,fall
7.48,-1.82,6.21,-0.24,0.31,-1.28,fall
7.43,-1.9,6.22,-0.43,0.18,-0.98,fall
7.51,-1.83,6.18,-0.31,0.12,-0.98,fall
7.47,-1.89,6.17,-0.37,0.24,-0.92,fall
7.54,-1.87,6.14,-0.67,0.31,-1.28,fall
7.48,-1.86,6.19,-1.1,0.49,-1.53,fall
7.47,-1.77,6.28,-0.61,0.61,-2.2,fall
7.46,-1.62,6.32,0.92,1.71,-4.21,fall
7.5,-1.75,6.22,3.42,2.56,-6.29,fall
7.45,-2.08,6.12,1.95,1.59,-5.43,fall
7.46,-2.13,6.1,0.67,0.06,-2.32,fall
7.49,-2.18,6.07,-0.67,-0.85,0.18,fall
7.52,-2.06,6.12,-0.85,-0.92,0.37,fall
7.53,-1.89,6.24,-0.55,-0.49,-0.49,fall
7.44,-1.82,6.18,0.79,-0.49,-1.89,fall
7.44,-1.95,6.2,1.59,0.06,-1.83,fall
7.43,-2.04,6.16,0.67,-0.06,-1.16,fall
7.44,-1.99,6.2,-0.49,-0.12,-1.22,fall
7.45,-1.99,6.19,-0.55,-0.43,-0.92,fall
7.46,-2.03,6.16,-0.12,0,-1.04,fall
7.46,-2.02,6.15,-0.43,0.18,-1.22,fall
7.42,-2.07,6.18,-0.67,0.31,-0.98,fall
7.45,-1.96,6.21,-0.85,0.49,-0.98,fall
7.46,-1.94,6.27,-0.31,0.49,-1.22,fall
7.54,-1.95,6.27,0.18,0.24,-0.92,fall
7.47,-1.87,6.15,0.92,-0.73,-0.73,fall
7.4,-1.93,6.11,0.98,-0.06,-0.61,fall
7.42,-2.03,6.22,0.67,0.43,-0.92,fall
7.45,-2.02,6.17,0.24,0.12,-1.22,fall
7.47,-2.07,6.17,-0.06,-0.18,-0.85,fall
7.44,-2.08,6.2,-0.55,-0.18,-1.16,fall
7.42,-2.02,6.24,-0.43,0.24,-1.22,fall
7.4,-2.02,6.26,0.06,0.49,-1.04,fall
7.42,-2.03,6.22,-0.12,0.85,-0.37,fall
7.54,-1.95,6.12,-0.37,0.49,-0.61,fall
7.48,-1.95,6.14,-0.49,0,-1.22,fall
7.43,-1.99,6.21,-0.61,-0.18,-1.34,fall
7.38,-1.98,6.18,-0.37,0.24,-1.04,fall
7.47,-2,6.17,-0.43,0.61,-0.85,fall
7.47,-1.99,6.22,-0.67,0.24,-0.98,fall
7.42,-1.98,6.24,-0.31,0,-1.77,fall
7.42,-2,6.22,-0.12,0,-1.59,fall
7.43,-2.01,6.22,0,-0.12,-1.16,fall
7.45,-1.97,6.16,0,0.18,-1.28,fall
7.44,-2.01,6.18,0,0.31,-0.92,fall
7.45,-2.04,6.21,-0.31,0.43,-0.92,fall
7.43,-2.03,6.21,-0.49,0.24,-1.1,fall
7.41,-2.02,6.22,-0.55,0.43,-0.73,fall
7.42,-2.02,6.21,-0.43,0.73,-0.67,fall
7.45,-1.99,6.19,-0.49,0.61,-0.73,fall
7.46,-2.01,6.21,-0.37,0.37,-1.04,fall
7.46,-2.01,6.17,-0.61,0.31,-1.1,fall
7.46,-1.97,6.19,-0.37,0.18,-0.98,fall
7.44,-1.97,6.2,-0.31,0.18,-0.85,fall
7.45,-1.98,6.22,-0.18,0.24,-0.92,fall
7.43,-1.99,6.21,-0.12,0.12,-1.22,fall
7.44,-2,6.2,0.12,-0.12,-1.1,fall
7.4,-2.03,6.23,0.06,0.31,-0.98,fall
7.44,-2.05,6.2,-0.06,0.49,-0.67,fall
7.48,-2,6.16,-0.12,0.06,-1.1,fall
7.42,-1.96,6.23,-0.67,0.18,-1.34,fall
7.39,-1.99,6.18,-0.43,0,-1.28,fall
7.42,-2.03,6.18,-0.55,0.73,-1.04,fall
7.46,-2.03,6.2,-0.49,0.73,-0.98,fall
7.44,-1.92,6.23,-0.37,0.18,-0.98,fall
7.41,-2,6.22,0,0.18,-0.98,fall
7.46,-1.96,6.22,0.37,0.37,-1.1,fall
6.89,-1.53,-6.57,20.14,-4.15,-25.7,fall
6.61,-1.78,-6.44,19.35,-3.72,-28.93,fall
6.48,-1.78,-6.44,18.49,-1.04,-27.34,fall
6.45,-1.83,-6.47,17.03,2.01,-23.25,fall
6.75,-1.81,-6.55,16.24,6.29,-17.76,fall
6.9,-1.62,-6.59,13.67,7.63,-12.21,fall
6.7,-1.8,-6.74,11.66,7.51,-10.01,fall
6.55,-1.9,-6.76,8.54,8.67,-8.79,fall
6.47,-1.75,-6.77,6.04,9.4,-7.51,fall
6.64,-1.7,-6.78,4.03,8.06,-6.1,fall
6.51,-1.34,-6.71,3.97,9.52,-3.85,fall
6.74,-1.67,-6.9,2.75,12.57,-1.83,fall
6.89,-1.74,-6.95,2.99,11.23,-5.43,fall
6.96,-1.48,-6.94,1.59,7.2,-6.23,fall
7.08,-1.31,-7.09,2.2,1.16,-6.04,fall
7.16,-1.36,-6.97,2.32,-5.19,-6.9,fall
7.22,-1.18,-6.75,4.27,-11.17,-10.74,fall
6.8,-0.85,-6.64,8.73,-15.75,-17.52,fall
6.7,-0.89,-7.15,14.28,-16.91,-27.47,fall
7.16,-0.84,-7.55,20.45,-13.79,-39.92,fall
6.39,-1.13,-7.21,25.7,-16.36,-42.36,fall
6.34,-2.44,-7.24,25.02,-20.75,-36.32,fall
5.9,-2.73,-6.72,24.11,-19.23,-32.71,fall
6.01,-2.08,-6.45,21.42,-17.15,-27.59,fall
5.99,-2.44,-6.6,21.61,-16.91,-22.71,fall
5.72,-2.62,-6.76,17.88,-15.63,-14.28,fall
5.21,-2.69,-7.02,12.76,-8.36,-4.52,fall
5.28,-2.59,-6.69,6.41,-1.53,3.85,fall
6.21,-2.19,-7.71,2.75,0.43,10.68,fall
5.81,-2.9,-6.95,0,0.37,18.43,fall
6.11,-2.85,-6.92,-6.65,0.06,23.07,fall
8.86,-3.58,-5.53,-10.44,2.69,29.05,fall
8.33,-1.38,-8.72,-11.9,3.48,32.04,fall
8.87,-0.24,-8.56,-2.81,6.47,31.13,fall
6.71,-2.44,-5.13,-1.89,14.4,21.97,fall
6.68,-0.67,-3.38,-5.68,14.53,23.8,fall
7.44,0.84,-5.08,-1.04,9.22,24.17,fall
8.15,2.01,-6,7.45,8.79,22.03,fall
8.21,1.03,-6.19,25.51,6.04,16.6,fall
7.4,0.3,-6.08,26.06,0.06,8.67,fall
6.67,-0.19,-6.06,22.58,-5,5.62,fall
6.66,-0.74,-6.84,13.37,-4.7,-0.37,fall
6.4,-0.14,-6.79,1.83,-3.97,-5.92,fall
6.03,0.44,-6.98,-2.62,-1.4,-11.29,fall
5.86,0.96,-6.9,-5.74,-2.14,-11.9,fall
5.25,2.49,-6.12,-2.32,-0.67,-14.4,fall
6.34,1.26,-6.67,20.14,7.45,-30.88,fall
6.39,-1.58,-8.19,17.4,17.82,-27.77,fall
8.78,2.16,-10.15,19.53,25.02,-33.2,fall
9.45,-1.64,-8.79,26.12,22.95,-28.08,fall
7.52,-1.48,-5.89,13,16.72,-27.04,fall
6.38,0.69,-1.36,13.85,0.55,-34.73,fall
5.91,-0.69,-5.03,26.49,-2.01,-35.22,fall
8.73,-5.37,-9.58,23.93,3.97,-5.25,fall
7.25,-1.52,-7.8,-20.69,5.55,-3.11,fall
7.2,-0.42,-6.84,-16.72,7.75,-20.63,fall
5.94,-2.6,-6.27,-28.08,3.48,-12.33,fall
5.9,-2.43,-6.99,-35.71,4.27,-2.62,fall
5.48,-1.56,-7.13,-45.35,9.22,17.21,fall
5.45,-0.77,-7.01,-49.13,14.28,39.92,fall
5.66,0.99,-7.1,-38.82,18.49,54.87,fall
5.31,-0.88,-6.41,-31.25,16.78,62.01,fall
7.77,-2.92,-4.03,-41.99,9.77,72.14,fall
12.83,-0.31,-8.89,-44.25,-3.36,109.99,fall
7.68,-3.89,-7.27,-61.22,-13.43,67.2,fall
